Timestamp, X_Position, Y_Position, Z_Position, Q0_Rotation, Q1_Rotation, Q2_Rotation, Q3_Rotation, X_Velocity, Y_Velocity, Z_Velocity, X_Accel, Y_Accel, Z_Accel, Trigger, Grip
35527,0.03782616,1.089062,0.5545552,-0.4118937,-0.01324663,-0.02841287,0.9106925,0.006505844,-0.001536768,-0.04260517,0,0,0,False,True
35556,0.03776115,1.089445,0.5529854,-0.4127123,-0.01211517,-0.03008059,0.910284,0.002853963,0.009772155,-0.04157165,0,0,0,False,True
35584,0.03738866,1.090204,0.5513399,-0.4143032,-0.01028592,-0.03297553,0.9094832,-0.0005659577,0.01813314,-0.04428811,0,0,0,False,True
35613,0.03658674,1.090786,0.5504771,-0.415313,-0.01161195,-0.03433908,0.9089561,-0.01823577,0.0227989,-0.04454457,0,0,0,False,True
35640,0.03561445,1.091448,0.5500426,-0.4138541,-0.01251258,-0.03206879,0.9096922,-0.03822264,0.02766114,-0.03497311,0,0,0,False,True
35668,0.03471012,1.092605,0.5490122,-0.4146509,-0.01234812,-0.03162466,0.9093471,-0.03538378,0.04124298,-0.04026382,0,0,0,False,True
35697,0.03338796,1.095076,0.5469741,-0.4176247,-0.01231425,-0.03540867,0.9078459,-0.02446421,0.05091154,-0.04507513,0,0,0,False,True
35724,0.03258405,1.096975,0.5457306,-0.4201892,-0.01170965,-0.03848628,0.9065444,-0.02040337,0.05518022,-0.04392362,0,0,0,False,True
35751,0.03212288,1.098041,0.5452703,-0.4208782,-0.01089229,-0.03842143,0.9062377,-0.02024742,0.05769077,-0.04016521,0,0,0,False,True
35779,0.03151524,1.099505,0.5445406,-0.4225957,-0.01031,-0.03852417,0.9054405,-0.02040326,0.0594853,-0.03736075,0,0,0,False,True
35806,0.03092789,1.101184,0.54383,-0.4256469,-0.01018928,-0.03908712,0.9039873,-0.0184414,0.05946661,-0.03402099,0,0,0,False,True
35835,0.03056092,1.102483,0.5437175,-0.4261658,-0.008307574,-0.0370488,0.9038479,-0.01628565,0.05836227,-0.02329457,0,0,0,False,True
35862,0.02869789,1.105774,0.542873,-0.4298363,-0.007902225,-0.02685859,0.9024727,-0.03293701,0.06173481,-0.02171442,0,0,0,False,True
35885,0.02850655,1.106824,0.5431198,-0.4278535,-0.007557991,-0.02382963,0.9035023,-0.02821189,0.0579542,-0.01110941,0,0,0,False,True
35914,0.02909677,1.106384,0.543276,-0.4274786,-0.007613676,-0.02675748,0.9035973,-0.01329837,0.0476636,-0.00920221,0,0,0,False,True
35943,0.02944181,1.106658,0.5430173,-0.4286618,-0.007784485,-0.02873865,0.9029744,0.00035911,0.04168879,-0.01567597,0,0,0,False,True
35973,0.02956117,1.107662,0.5426736,-0.429357,-0.009478682,-0.0280054,0.9026508,-0.002369552,0.03569777,-0.0154859,0,0,0,False,True
36001,0.02985348,1.108533,0.5424049,-0.4287912,-0.01072495,-0.02532038,0.902985,0.001314497,0.027686,-0.01017162,0,0,0,False,True
36028,0.03038642,1.108418,0.5422539,-0.4293424,-0.009958059,-0.02573892,0.9027201,0.0225601,0.01494872,-0.01537594,0,0,0,False,True
36057,0.03131053,1.108491,0.5419006,-0.4296634,-0.009589466,-0.02638315,0.9025527,0.03486385,0.005056846,-0.01467125,0,0,0,False,True
36084,0.03219306,1.108443,0.5415713,-0.4296643,-0.009346329,-0.02609177,0.9025633,0.03489955,-0.0007443469,-0.01525449,0,0,0,False,True
36113,0.03306353,1.10833,0.5412337,-0.4296606,-0.009212997,-0.02565003,0.9025791,0.03590353,-0.004076168,-0.0151392,0,0,0,False,True
36141,0.03431863,1.108033,0.5407676,-0.429999,-0.008666621,-0.02608236,0.9024109,0.03960074,-0.007013211,-0.01706952,0,0,0,False,True
36169,0.0354198,1.107695,0.5404128,-0.4299814,-0.007554203,-0.02602435,0.902431,0.03740627,-0.01004214,-0.01260573,0,0,0,False,True
36198,0.03605217,1.10744,0.540137,-0.4298169,-0.006781527,-0.02585592,0.9025203,0.03235624,-0.01134792,-0.01130085,0,0,0,False,True
36226,0.03692338,1.107028,0.5397732,-0.430292,-0.007118287,-0.0278782,0.9022311,0.02914341,-0.01151217,-0.01005849,0,0,0,False,True
36251,0.03710323,1.106848,0.5396289,-0.4302735,-0.006403956,-0.02744499,0.9022586,0.0208219,-0.01256041,-0.00786123,0,0,0,False,True
